iter	Passed	Remaining
774	3818	1108
775	3823	1103
776	3827	1098
777	3831	1093
778	3835	1088
779	3840	1083
780	3845	1078
781	3850	1073
782	3854	1068
783	3859	1063
784	3864	1058
785	3868	1053
786	3872	1048
787	3876	1043
788	3881	1037
789	3885	1032
790	3890	1028
791	3895	1022
792	3899	1017
793	3903	1012
794	3908	1007
795	3912	1002
796	3917	997
797	3921	992
798	3926	987
799	3931	982
800	3935	977
801	3940	972
802	3944	967
803	3948	962
804	3953	957
805	3957	952
806	3961	947
807	3966	942
808	3971	937
809	3976	932
810	3981	927
811	3988	923
812	3992	918
813	3997	913
814	4003	908
815	4007	903
816	4012	898
817	4016	893
818	4021	888
819	4026	883
820	4031	878
821	4036	874
822	4040	869
823	4044	863
824	4049	858
825	4054	854
826	4059	849
827	4063	844
828	4068	839
829	4073	834
830	4077	829
831	4081	824
832	4086	819
833	4091	814
834	4096	809
835	4101	804
836	4105	799
837	4110	794
838	4114	789
839	4118	784
840	4122	779
841	4127	774
842	4131	769
843	4135	764
844	4139	759
845	4143	754
846	4148	749
847	4152	744
848	4158	739
849	4162	734
850	4167	729
851	4171	724
852	4176	719
853	4180	714
854	4184	709
855	4189	704
856	4193	699
857	4198	694
858	4202	689
859	4206	684
860	4210	679
861	4215	674
862	4219	669
863	4224	664
864	4229	660
865	4234	655
866	4238	650
867	4242	645
868	4247	640
869	4251	635
870	4255	630
871	4260	625
872	4264	620
873	4269	615
874	4273	610
875	4279	605
876	4283	600
877	4287	595
878	4291	590
879	4296	585
880	4300	580
881	4304	575
882	4308	570
883	4313	566
884	4317	561
885	4322	556
886	4328	551
887	4332	546
888	4337	541
889	4341	536
890	4346	531
891	4354	527
892	4360	522
893	4366	517
894	4370	512
895	4376	508
896	4381	503
897	4386	498
898	4394	493
899	4401	489
900	4407	484
901	4413	479
902	4417	474
903	4422	469
904	4427	464
905	4431	459
906	4435	454
907	4440	449
908	4444	444
909	4449	440
910	4453	435
911	4458	430
912	4462	425
913	4467	420
914	4472	415
915	4477	410
916	4481	405
917	4486	400
918	4491	395
919	4495	390
920	4499	385
921	4503	381
922	4508	376
923	4512	371
924	4516	366
925	4521	361
926	4525	356
927	4530	351
928	4534	346
929	4538	341
930	4542	336
931	4546	331
932	4551	326
933	4555	321
934	4559	316
935	4563	312
936	4568	307
937	4572	302
938	4577	297
939	4582	292
940	4587	287
941	4591	282
942	4595	277
943	4600	272
944	4605	268
945	4609	263
946	4613	258
947	4618	253
948	4622	248
949	4626	243
950	4630	238
951	4634	233
952	4639	228
953	4644	223
954	4649	219
955	4653	214
956	4657	209
957	4662	204
958	4666	199
959	4670	194
960	4675	189
961	4679	184
962	4683	179
963	4688	175
964	4692	170
965	4697	165
966	4702	160
967	4706	155
968	4711	150
969	4716	145
970	4721	141
971	4725	136
972	4729	131
973	4734	126
974	4738	121
975	4742	116
976	4746	111
977	4751	106
978	4755	102
979	4760	97
980	4765	92
981	4769	87
982	4773	82
983	4777	77
984	4781	72
985	4785	67
986	4790	63
987	4795	58
988	4799	53
989	4803	48
990	4808	43
991	4812	38
992	4817	33
993	4822	29
994	4827	24
995	4831	19
996	4835	14
997	4840	9
998	4844	4
999	4848	0
